id,name_in_english,name_in_spanish,countries,country_code,degree_of_endangerment,number_of_speakers,latitude,longitude
1115,Thakali,thakali,Nepal,NPL,Vulnerable,6441.0,28.7146,83.6478
74,Dongotono,dongotono,Sudan,SDN,Vulnerable,6219.0,4.965,35.321
1763,Mawé,mawé-sateré,Brazil,BRA,Vulnerable,6219.0,-3.8642,-56.7773
498,Shor,sorio,Russian Federation,RUS,Severely endangered,6210.0,53.0544,87.7478
992,Central Tlapanec,tlapaneco central,Mexico,MEX,Vulnerable,6191.0,17.2624,-98.7482
2366,Oji-Cree,oyi-clisteno,Canada,CAN,Vulnerable,6110.0,53.8141,-94.8977
65,Keiga,keiga,Sudan,SDN,Severely endangered,6072.0,11.3184,29.696
2271,Ampibabo Lauje,lauje,Indonesia,IDN,Vulnerable,6000.0,0.3295,120.1904
1631,Cashinahua (Brazil),cashinahua (Brasil),Brazil,BRA,Vulnerable,6000.0,-9.2603,-71.5304
32,Geji cluster,grupo geji,Nigeria,NGA,Severely endangered,6000.0,10.196,9.5581
1879,Mbya Guarani (Brazil),guaraní mbyá (Brasil),Brazil,BRA,Vulnerable,6000.0,-30.1451,-50.625
1010,Moklen,moklen,"Myanmar, Thailand","MMR, THA",Definitely endangered,6000.0,8.1953,98.3036
2624,Nauruan,nauruano,Nauru,NRU,Severely endangered,6000.0,-0.53,166.9221
1818,Nheengatu / Yeral (Brazil),nheengatú  (Brasil),Brazil,BRA,Severely endangered,6000.0,-0.4833,-67.0166
2299,Parachi,parachí,Afghanistan,AFG,Definitely endangered,6000.0,34.4658,68.637
1014,Quechua of San Martín,quechua de San Martín,Peru,PER,Severely endangered,6000.0,-6.5336,-76.4428
1293,Sawkna,sokna,Libyan Arab Jamahiriya,LBY,Critically endangered,6000.0,27.252,17.7539
1100,Sulung,sulung,"China, India","CHN, IND",Definitely endangered,6000.0,27.839,92.8784
1060,Tindi,tindi,Russian Federation,RUS,Definitely endangered,6000.0,42.466,46.1453
785,Western Apache,apache occidental,United States of America,USA,Definitely endangered,6000.0,33.2563,-110.4637
323,Yanomami (Brazil),yanomamö (Brasil),Brazil,BRA,Vulnerable,6000.0,3.0746,-63.457
1460,Yazgulami,yazgulamí,Tajikistan,TJK,Severely endangered,6000.0,38.1982,71.4276
432,Chantyal,chantel,Nepal,NPL,Definitely endangered,5912.0,28.4493,83.4054
2341,Mortlockese,mortlock,Micronesia (Federated States of),FSM,Definitely endangered,5904.0,5.5811,153.5668
1767,Baníwa do Içana,baniwa,"Brazil, Colombia, Venezuela (Bolivarian Republic of)","BRA, COL, VEN",Vulnerable,5811.0,1.2743,-68.291
285,"Akawaio (Guyana, Venezuela)","akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN",Definitely endangered,5800.0,5.3753,-60.5126
1039,Akhvakh,ajvaj,Russian Federation,RUS,Definitely endangered,5793.0,42.472,46.3238
420,Veps,vepsio,Russian Federation,RUS,Severely endangered,5753.0,60.3269,34.8046
2372,Qikiqtaaluk nigiani,qikiqtaaluk nigiani,Canada,CAN,Vulnerable,5740.0,63.7577,-68.5178
1829,Sipakapense,sipacapense,Guatemala,GTM,Definitely endangered,5687.0,15.2121,-91.6335
1871,Bribri (Costa Rica),talamanca (Costa Rica),Costa Rica,CRI,Vulnerable,5647.0,9.5596,-83.3073
1301,Bainouk-Gunyaamolo,bainuko-gunyaamolo,Senegal,SEN,Vulnerable,5635.0,12.7421,-16.1141
1305,Kwatay,kwatay,Senegal,SEN,Severely endangered,5625.0,12.4204,-16.7596
2248,Baheng (Viet Nam),baheng (Vietnam),Viet Nam,VNM,Vulnerable,5569.0,22.8166,106.35
909,Central Zoque,zoqué central,Mexico,MEX,Definitely endangered,5500.0,17.0965,-93.2095
1605,Dameli,damelí,Pakistan,PAK,Severely endangered,5500.0,35.578,71.8684
1138,Sak (Bangladesh),sak (Bangladesh),Bangladesh,BGD,Severely endangered,5500.0,21.5041,92.2055
1603,Yidgha,munyaní,Pakistan,PAK,Definitely endangered,5500.0,36.0024,71.6006
1486,Southeastern Tarahumara,tarahumara suroriental,Mexico,MEX,Vulnerable,5406.0,26.0891,-106.9645
634,Chimané,chimané,Bolivia (Plurinational State of),BOL,Vulnerable,5300.0,-15.2629,-66.8518
73,Dilling,dillingo,Sudan,SDN,Definitely endangered,5295.0,12.0178,29.663
851,San Dionisio del Mar Huave,huave de San Dionisio del Mar,Mexico,MEX,Definitely endangered,5165.0,16.3166,-94.75
72,Lafofa,lafofa,Sudan,SDN,Severely endangered,5140.0,10.3716,30.6243
2220,Akeu,akeu,"Lao People's Democratic Republic, Myanmar, Thailand","LAO, MMR, THA",Definitely endangered,5000.0,21.5833,101.0166
2429,Anung (China),anung (China),China,CHN,Critically endangered,5000.0,26.7368,98.7766
1040,Bagvalal,bagvalal,Russian Federation,RUS,Definitely endangered,5000.0,42.5247,46.192
1671,Bambassi,bambeshi,Ethiopia,ETH,Definitely endangered,5000.0,9.7469,34.7662
288,Barí,motilón,Colombia,COL,Vulnerable,5000.0,9.0261,-73.2678
1435,Bartangi,bartangí,Tajikistan,TJK,Severely endangered,5000.0,38.048,71.8286
983,Bokar,bokar,"China, India","CHN, IND",Vulnerable,5000.0,28.8735,94.3807
444,Brokpa,sagtenpa,Bhutan,BTN,Definitely endangered,5000.0,27.3766,91.9981
900,Creek,muskoguí,United States of America,USA,Definitely endangered,5000.0,35.6319,-95.9616
2002,Cubeo (Colombia),cubeo (Colombia),Colombia,COL,Vulnerable,5000.0,1.5,-70.5
450,Dagur (Hailar),daguro (Hailar),China,CHN,Definitely endangered,5000.0,48.6111,119.7949
2524,Damal,damal,Indonesia,IDN,Vulnerable,5000.0,-4.2806,137.0324
123,Dhaiso,daisa,United Republic of Tanzania,TZA,Definitely endangered,5000.0,-5.0745,38.4741
1206,Gorum,gorumo,India,IND,Definitely endangered,5000.0,18.667,83.0346
1922,Guarayu,guarayo,Bolivia (Plurinational State of),BOL,Definitely endangered,5000.0,-15.919,-62.8747
1597,Gutnish,gotlandiano,Sweden,SWE,Definitely endangered,5000.0,57.3027,18.5284
870,Hopi,hopí,United States of America,USA,Vulnerable,5000.0,35.8721,-110.6205
30,Ilue,ilue,Nigeria,NGA,Critically endangered,5000.0,4.9185,8.2397
1962,Jibbali,yibalí,Oman,OMN,Severely endangered,5000.0,18.0623,52.4267
1602,Kalasha,calasa,Pakistan,PAK,Severely endangered,5000.0,35.6684,71.7201
117,Kami,kami,United Republic of Tanzania,TZA,Severely endangered,5000.0,-6.8937,37.1337
529,Kathu,gasu,China,CHN,Definitely endangered,5000.0,24.136,105.249
2068,Khojki,luvatí,Oman,OMN,Severely endangered,5000.0,23.6193,58.5653
128,Khwe,xun,Namibia,NAM,Definitely endangered,5000.0,-18.271,21.4892
1188,Kom,kom,India,IND,Definitely endangered,5000.0,24.0414,93.6639
2183,Korandje,Korandje,Algeria,DZA,Severely endangered,5000.0,29.4049,-3.2605
531,Lachi,lati,Viet Nam,VNM,Definitely endangered,5000.0,22.5,104.1333
2426,Mak,ching,China,CHN,Definitely endangered,5000.0,25.5532,107.3809
709,Manihiki,manihiki-rakahanga,Cook Islands,COK,Definitely endangered,5000.0,-10.4,-161.0
388,Megleno-Romanian,rumano meglenita,"Greece, The former Yugoslav Republic of Macedonia","GRC, MKD",Severely endangered,5000.0,41.1042,22.2025
1094,Miji,miji,India,IND,Definitely endangered,5000.0,27.3351,92.5735
2413,Mo'ang (China),moang (China),China,CHN,Definitely endangered,5000.0,23.8421,103.9116
