country,country_long,region,continent,latitude,longitude,rural_land,urban_land,population,rural_population,urban_population,democracy_score,democracy_type
Bulgaria,Republic of Bulgaria,Eastern Europe,Europe,43.0,25.0,108914.0,2109.34,6465097,1528155,4936942,7.03,Flawed democracy
Burkina Faso,Burkina Faso,Western Africa,Africa,13.0,-2.0,273918.0,1599.3,22673762,15446047,7227715,4.75,Hybrid regime
Burundi,Republic of Burundi,Eastern Africa,Africa,-3.5,30.0,24150.6,887.842,12889576,11031286,1858290,2.33,Authoritarian
Cabo Verde,Republic of Cabo Verde,Western Africa,Africa,16.0,-24.0,4043.85,59.5543,593149,192507,400642,7.88,Flawed democracy
Cambodia,Kingdom of Cambodia,South-Eastern Asia,Asia,13.0,105.0,176181.0,1838.75,16767842,12556766,4211076,3.59,Authoritarian
Cameroon,Republic of Cameroon,Middle Africa,Africa,6.0,12.0,463837.0,2352.11,27914536,11519492,16395044,3.28,Authoritarian
Canada,Canada,Northern America,Americas,60.0,-95.0,9197140.0,13983.1,38929902,7103929,31825973,9.15,Full democracy
Central African Republic,Central African Republic,Middle Africa,Africa,7.0,21.0,622165.0,535.376,5579144,3173417,2405727,1.52,Authoritarian
Chad,Republic of Chad,Middle Africa,Africa,15.0,19.0,1272920.0,948.824,17723315,13458554,4264761,1.61,Authoritarian
Chile,Republic of Chile,South America,Americas,-30.0,-71.0,723594.0,3579.67,19603733,2369699,17234034,7.97,Flawed democracy
China,People's Republic of China,Eastern Asia,Asia,35.0,105.0,8723720.0,522345.0,1412175000,514596570,897578430,3.32,Authoritarian
Colombia,Republic of Colombia,South America,Americas,4.0,-72.0,1127200.0,5114.56,51874024,9311387,42562637,6.96,Flawed democracy
Comoros,Union of the Comoros,Eastern Africa,Africa,-12.16666666,44.25,1534.77,142.534,836774,586880,249894,3.71,Authoritarian
Congo,Republic of Congo,Middle Africa,Africa,-1.0,15.0,340341.0,420.263,5970424,1866593,4103831,3.31,Authoritarian
Costa Rica,Republic of Costa Rica,Central America,Americas,10.0,-84.0,49804.7,1475.94,5180829,930373,4250456,8.07,Full democracy
Côte d'Ivoire,Republic of Côte d'Ivoire,Western Africa,Africa,8.0,-5.0,318024.0,2981.96,28160542,13330919,14829623,4.15,Hybrid regime
Croatia,Republic of Croatia,Southern Europe,Europe,45.16666666,15.5,54777.1,1648.41,3854000,1610240,2243760,6.57,Flawed democracy
Cuba,Republic of Cuba,Caribbean,Americas,21.5,-80.0,106665.0,3053.18,11212191,2533843,8678348,3.0,Authoritarian
Cyprus,Republic of Cyprus,Southern Europe,Europe,35.0,33.0,8747.63,518.98,1251488,414105,837383,7.59,Flawed democracy
Czech Republic,Czech Republic,Eastern Europe,Europe,49.75,15.5,73926.2,4023.4,10526073,2697096,7828977,7.69,Flawed democracy
Dem. People's Rep. Korea,Democratic People's Republic of Korea,Eastern Asia,Asia,40.0,127.0,119025.0,2678.34,26069416,9667582,16401834,1.08,Authoritarian
Dem. Rep. Congo,Democratic Republic of the Congo,Middle Africa,Africa,0.0,25.0,2295900.0,7232.35,99010212,52636799,46373413,1.49,Authoritarian
Denmark,Kingdom of Denmark,Northern Europe,Europe,56.0,10.0,40365.6,2235.49,5903037,686700,5216337,9.22,Full democracy
